0.59469,0.64171,0.58793,0.17341,0.14747,0.0683,0.51923,0.12007,0.93921,0.021349,4.8236,2.4656,1.377,4.1231,1.3307,0.85894,2.3177,4.3985,1.156,4.2859
0.56224,0.95937,0.63384,0.58874,0.38504,0.2294,0.11149,0.62326,0.91166,0.65492,1.1297,0.036706,0.3906,4.0472,3.7502,2.5566,0.67799,1.8633,2.402,3.0004
0.48185,0.55199,0.90032,0.29713,0.81602,0.098604,0.079172,0.15578,0.13845,0.40755,2.5649,3.7118,4.0469,2.3117,0.93679,0.69006,0.8887,4.3422,2.2091,4.9595
0.14538,0.25776,0.22979,0.15108,0.45957,0.54887,0.17872,0.68928,0.12121,0.18311,2.2517,3.1765,2.1939,3.7518,0.79098,4.5539,3.7459,2.3196,2.9237,1.0494
0.30176,0.36196,0.71725,0.5957,0.69219,0.40265,0.40111,0.64836,0.57988,0.13069,0.90704,1.5358,3.0076,4.5539,3.9548,4.5573,3.4682,0.21814,1.1623,1.7125
0.71978,0.13222,0.63474,0.51765,0.305,0.49353,0.1001,1.1036,0.81896,0.4053,3.2754,4.8155,3.1141,2.6522,0.26696,4.8316,4.4228,3.6277,4.5049,0.89315
0.26694,0.40015,0.030829,0.96763,0.31517,0.58719,0.083446,0.36477,0.23737,0.26746,3.6583,0.48664,0.29919,3.1107,0.83972,5.4299,4.6076,4.4693,4.1803,2.3779
0.32005,0.64418,0.33158,1.0788,0.34033,0.71602,0.92969,0.75524,0.20132,0.18766,4.7796,2.6188,0.090229,0.72606,3.2712,4.0728,2.0875,4.5906,0.36266,1.9796
0.42101,0.17026,0.88162,0.51351,0.12743,0.70058,0.36218,0.18859,1.0829,0.32631,3.1431,0.56481,4.1446,0.42951,4.0028,2.4447,1.2378,2.4555,1.4693,4.2159
0.35008,0.44494,0.97676,0.31232,0.83586,1.4497,0.258,0.90333,0.30152,0.0031524,0.35582,2.5839,0.75017,1.7293,3.1432,0.59466,4.3706,4.865,3.1465,2.3725
0.47273,1.0123,0.4921,0.50085,0.17735,0.12166,0.75549,1.0973,0.099959,0.24703,3.9127,4.47,3.9398,4.9806,0.27585,4.535,0.53282,0.28117,4.4803,2.4777
0.3111,0.51011,0.075752,0.7053,0.90012,0.32446,0.38095,0.44013,0.37895,0.15528,3.0282,4.1596,3.6217,2.5387,3.9407,0.72973,1.3234,2.3746,0.4221,3.6509
0.21418,0.3763,0.19678,0.97368,0.65672,0.22415,0.52465,0.96046,0.4601,0.36502,3.8302,4.8634,3.98,1.539,3.0475,0.72943,3.4328,0.28204,2.2963,4.2574
0.96603,0.090369,0.6279,0.8172,0.58472,0.35078,1.0047,0.76626,0.50454,0.056119,4.2383,0.85464,1.5633,0.53811,1.3521,1.4805,0.5239,3.7578,4.1778,4.7684
0.021222,0.27226,1.0096,0.24952,0.17155,0.048961,0.28965,0.11764,0.24531,0.7008,1.4226,3.7954,1.3224,4.1653,3.7267,0.83617,2.6065,4.1299,2.7058,1.5756
0.20683,0.80161,0.079144,0.8401,0.75555,0.54795,0.568,0.19998,0.25948,0.088707,1.7352,2.3006,4.9438,4.541,4.7183,1.8518,1.2423,3.4462,1.7356,3.1692
-0.20683,-0.80161,-0.079144,-0.8401,-0.75555,-0.54795,-0.568,-0.19998,-0.25948,-0.088707,-1.7352,-2.3006,-4.9438,-4.541,-4.7183,-1.8518,-1.2423,-3.4462,-1.7356,-3.1692
-0.021222,-0.27226,-1.0096,-0.24952,-0.17155,-0.048961,-0.28965,-0.11764,-0.24531,-0.7008,-1.4226,-3.7954,-1.3224,-4.1653,-3.7267,-0.83617,-2.6065,-4.1299,-2.7058,-1.5756
-0.96603,-0.090369,-0.6279,-0.8172,-0.58472,-0.35078,-1.0047,-0.76626,-0.50454,-0.056119,-4.2383,-0.85464,-1.5633,-0.53811,-1.3521,-1.4805,-0.5239,-3.7578,-4.1778,-4.7684
-0.21418,-0.3763,-0.19678,-0.97368,-0.65672,-0.22415,-0.52465,-0.96046,-0.4601,-0.36502,-3.8302,-4.8634,-3.98,-1.539,-3.0475,-0.72943,-3.4328,-0.28204,-2.2963,-4.2574
